Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1,30518.57743,29291.75666,29551.09115,29709.44813,29849.42241,30016.60843,29278.67338,29394.47647,29400.26888,29375.13602,29286.54343,30184.26893,30297.016,30425.44779,30561.05428,30764.22183,30527.85205,30650.8024,30820.08534,31016.07251,31321.1371,30902.53859,31231.47607,31543.22457,31782.83534,32026.62424,31457.92669,31623.45808,31788.37569,31949.70677,32088.62392,31492.16962,31703.59469,31913.35263,32121.11331,32364.75962,32509.52179,32705.04366,32900.12016,33092.96753,33314.33223
2,153605.9983,138715.9838,140300.7661,141816.8098,143306.0301,144920.7698,137490.158,139063.8019,140639.2015,142153.9651,143655.5959,137076.9993,138536.0374,139941.382,141323.864,142789.0515,138515.4424,139931.5009,141255.5832,142572.4963,144349.2653,140001.3368,141305.095,142581.3051,143825.8039,145332.7995,142409.0725,143584.3825,144738.1164,145883.8605,147011.1617,147850.1961,148940.003,150003.3242,151058.3703,152240.0329,153847.3362,154831.4485,155788.8509,156726.123,157764.8971
3,65010.30399,64089.83909,65310.76773,66496.88868,67677.48863,68941.49793,67087.3865,68138.95563,69284.13423,70470.30177,71641.75934,68481.10356,69542.01998,70611.54374,71666.88908,72902.01036,69479.86242,70428.47004,71392.19542,72347.56737,73394.08947,70936.54149,71786.55349,72618.22433,73432.84837,74326.80665,72455.7589,73129.57501,73768.01655,74366.79608,74967.60673,83229.11703,83850.49379,84425.82385,84970.09821,85612.56818,81909.39691,82242.35576,82532.31132,82780.69734,83088.81734
4,31001.25478,32638.08322,33794.3765,35014.44096,36242.83821,37547.89917,37066.02516,38250.92247,39460.28616,40630.42207,41835.29786,41216.19938,42410.75371,43673.13629,44951.28001,43873.83036,43439.35343,44397.15721,45486.07347,46589.76943,47771.44738,47227.98321,48303.04128,49368.25467,50427.46147,51550.05819,50484.20787,51444.3266,52382.28644,53302.28434,54197.40299,52423.86947,52971.90866,53473.71034,53936.32034,54453.74551,52054.26253,52297.64488,52483.61613,52615.65872,52777.09756
5,92350.25733,79757.31919,81682.66894,83682.07822,85673.64146,87845.10982,74581.07953,76006.16412,77397.66033,79275.58299,80687.86323,71296.94273,72335.21682,73925.62119,75003.49118,78777.72579,74464.76489,75839.22581,77210.88892,78583.24492,80082.48851,75305.23895,76661.62085,78002.3723,79281.88078,80607.74672,74661.49049,75667.664,76679.24036,77682.74261,78680.09508,84287.0479,85057.98264,85776.31,86495.86106,87313.48897,83791.86536,84282.04436,84743.48439,85167.12791,85671.91928
6,106107.2289,99166.21587,102004.5243,104847.7667,107720.1229,110804.21,106090.0844,108664.0008,111539.9815,114586.5639,117654.9356,111627.0232,114454.7055,117381.3035,120269.1029,120615.7315,115951.8919,118484.4442,121037.0401,123568.5712,126300.4012,121654.823,123993.8307,126329.901,128615.4624,131064.4339,126642.2258,128874.9587,130845.3771,132785.8936,134561.8295,134070.5452,135474.7552,136837.2872,138298.673,139950.1944,132964.3337,133867.3079,134699.7667,135447.9952,136344.2726
7,64959.73654,64033.23573,65877.7921,67824.86947,69812.87043,71956.92617,68622.32568,70263.31011,71963.14808,73752.85008,75533.68333,72022.27905,74108.93606,76374.77757,78686.52223,81419.41796,77161.33098,79243.54947,81527.44598,83893.12516,86467.00441,83007.84549,85456.40133,88045.25343,90755.84508,93807.33837,90152.23873,93168.02637,96542.05279,100451.1995,105126.1679,102707.4365,104836.8689,106957.3984,109069.8887,111479.4338,104069.4024,105846.7514,107580.6928,109298.7635,111144.1456
8,88305.02617,93860.85631,96969.16702,100246.2334,103689.8701,107502.7862,112508.6387,116452.4909,120439.732,124670.0004,129057.6539,130598.1822,135005.6017,139687.3951,144553.3974,149843.12,153723.5408,159042.2139,164756.6687,170753.2205,177269.4647,182926.5518,189866.2524,197131.8584,204794.7689,213313.1971,219869.9374,228779.0035,238217.7898,248291.6534,259097.6022,301070.9854,316245.8787,332189.4487,348989.0354,367573.3251,377391.9704,396193.5353,415847.7947,436376.9351,458477.6848
9,41813.39295,42729.61062,44057.1561,45456.27932,46933.6991,48595.08104,50788.62127,52607.37556,54534.22199,56568.90527,58737.97664,60629.20494,63011.71337,65531.24811,68193.46113,71155.36547,75348.11942,78687.29547,82192.00275,85853.05283,89831.58066,94159.96775,98341.69801,102929.8907,108107.3822,114058.927,119074.8491,125680.1089,132731.6859,140261.6151,148468.2318,149030.4121,156915.8756,165275.0645,174079.6227,183909.0161,190702.2101,200810.4349,211448.6863,222623.1142,234710.4458
10,23906.71326,23220.7424,24419.62051,25671.09222,26963.78594,28388.91068,26537.02528,27734.58955,28961.50628,30218.89132,31499.36331,29822.18275,30956.30624,32111.07134,33270.08844,34512.56894,33312.25114,34377.3723,35437.73756,36508.40568,37618.72263,35923.81253,36884.97125,37817.22958,38680.27139,39563.69226,37704.50647,38341.38923,38924.9942,39416.26709,39753.94457,33043.64477,33372.2068,33689.45007,33982.98486,34345.94238,33494.45673,33726.49041,33941.841,34136.75102,34374.29568
11,214254.1092,205692.7609,206965.1128,208169.4772,209352.9469,210844.0915,208651.7973,209731.8082,210714.235,211626.4338,212612.0039,213051.4216,213727.6754,214366.4385,214976.7276,214964.118,217073.0118,217617.1762,217902.9391,218505.9842,219442.577,216629.4581,217490.5105,218280.134,218855.3356,219551.8311,214267.3311,214502.0041,214730.599,214959.3813,215188.1382,204736.9764,205029.6333,205318.2205,205571.6923,206223.4963,203984.7724,204121.634,204283.0776,204410.7157,204801.7436
12,65601.11568,60896.88606,62237.59249,63554.74113,64842.96261,66140.29654,62062.90934,63091.61606,63971.32702,64762.87686,65500.28081,60915.78107,61457.04776,61957.96823,62418.81195,62042.6696,57568.3933,57900.64604,58194.42295,58481.15178,58836.83825,54005.30369,54361.21343,54679.5113,54894.49299,55094.84461,52150.51215,52223.14767,52265.089,52272.5954,52237.36693,51498.89547,51441.41095,51372.49098,51289.27958,51283.49,49025.6997,48869.90669,48694.72308,48508.88715,48358.34492
13,49281.62201,44840.348,45943.35231,47016.30366,48099.37762,49234.78395,45101.77458,45988.60346,46864.08327,47736.96718,48609.20304,45207.87481,46015.20331,46781.47546,47534.63016,48355.17787,46465.21078,47181.6135,47891.06766,48602.71345,49472.10869,46779.98872,47405.37288,48022.29941,48624.12952,49254.01511,46486.69869,47024.72392,47550.69162,48065.0209,48558.44096,50330.96915,50743.31321,51129.27537,51505.77769,51932.1284,49522.46152,49788.12096,50029.85951,50255.36856,50511.57594
14,14902.72409,15612.96195,15791.07131,16141.73304,15835.36196,16091.76955,15247.63519,15318.17558,15364.98358,15323.44252,15270.23013,13998.58855,13817.86807,13604.51457,13404.87768,17011.72946,16715.47367,17269.01857,17703.43106,18108.09142,18519.53254,17292.44684,17694.90097,18065.26912,18354.55264,18606.40441,17535.56867,17698.02436,17844.29989,17963.42725,18025.63602,19021.28397,19217.16738,19412.94571,19603.72371,19828.81402,20449.21404,20636.78099,20816.01494,20989.33483,21184.45719
15,21227.64724,21750.26718,22952.36851,24256.41144,25685.65889,27260.26798,23948.17272,25094.91169,26301.42274,27574.5254,28919.57907,24984.84758,25989.80177,27057.35717,28176.43003,28427.38535,24802.23873,25581.72416,26488.6754,27439.79744,28535.7817,25139.26877,25995.63975,26848.94934,27682.19933,28519.70866,24613.75688,25218.13625,25825.24932,26445.4081,27013.94442,24135.26541,24529.55422,24920.82469,25309.19842,25742.51114,24651.20389,25014.81795,25367.24325,25722.21779,26103.87921
16,73239.11626,67202.12635,68654.60717,70433.31005,72296.42767,74291.32544,70630.10933,72146.96595,73601.81545,75062.56579,76515.22996,67862.50749,69059.59005,70291.26599,71481.12182,72643.27459,64498.05376,65249.57366,66181.32383,67110.14727,68276.69649,59488.0082,60233.44441,60966.83487,61686.62745,62446.4963,56227.3077,56840.94538,57436.69624,58072.89028,58644.72223,58089.94243,58489.07193,58873.74989,59237.50679,59689.76879,65116.2545,65440.83209,65753.34872,66048.96596,66408.25902
17,168942.3966,161387.2729,164227.6288,167004.4953,169801.5214,172927.3874,170771.4322,173529.6121,176773.1065,180311.8099,183965.0347,172054.7224,175571.1046,179384.7662,183251.9969,184888.8391,175472.5097,178988.17,182764.8873,186628.4378,191154.7007,181513.6902,185130.4306,188832.8616,192685.0546,196901.9624,186682.4851,190198.0883,193936.8053,198147.6457,201906.8874,204943.4649,208161.5331,211336.2665,214563.6224,218184.5605,211457.9287,214378.195,217303.3897,220200.2292,223393.6894
18,329876.6471,327837.752,346344.2448,366151.4631,387293.1334,409818.9915,389285.781,409356.5731,430583.7247,452864.6503,476412.1517,470933.8384,493465.0159,516983.6625,541782.8415,559547.2478,551930.2753,576244.1827,601679.1026,628224.5666,657414.218,636193.8326,662120.9508,688865.366,716424.4984,744574.4083,717866.5474,743946.4127,770684.6607,798039.456,825849.6239,817773.6371,843670.1005,869774.9403,896064.3614,922765.5368,890568.9399,913915.3543,937199.349,960197.5097,983047.7497
19,46228.19361,41628.91018,42148.35831,42530.99168,42890.57125,43264.97468,37145.27138,37407.64776,37735.80659,38045.35175,38338.02791,33059.29845,33243.04894,33395.07788,33524.68603,33232.14828,28745.78129,28794.42951,28837.17715,28864.52683,28969.91566,24902.0115,24843.31934,24793.05292,24726.36437,24666.51403,21171.96945,21047.35193,20915.91367,20799.66098,20591.90541,23164.45136,22910.83876,22648.71752,22376.04534,22120.25352,19682.69745,19444.52715,19209.67637,18962.29536,18727.75118
20,1390472.617,1268764.13,1290286.427,1323403.729,1364430.437,1412574.572,1267977.953,1302736.922,1337096.095,1370453.313,1402913.225,1234362.386,1254876.885,1273938.126,1291639.489,1296547.184,1184030.102,1193854.137,1202263.339,1209637.327,1218723.689,1107115.542,1109949.926,1112402.652,1112972.921,1113385.9,1007222.284,1004445.677,1000865.499,995319.8594,992513.7399,880811.4068,874870.7039,868338.4178,861395.8633,855270.0441,805358.7345,797143.6316,788833.7503,780229.2695,771799.849
21,133653.9843,127844.1078,131669.3894,135761.5123,139924.2815,144312.6738,135839.4525,139370.0649,143607.1043,148032.2624,152631.3495,143655.9033,147862.3223,152233.3117,156502.0227,159120.1039,154334.0094,158678.1509,163278.815,168078.3497,173605.1957,167965.3372,172909.5852,177979.8884,183126.7224,188514.9621,181995.0429,186911.3267,191920.9425,197061.7461,202232.0889,189131.3354,192797.0881,196455.8857,200077.1147,204007.5736,196249.7091,199419.6972,202558.7735,205610.9232,208845.9185
22,62789.97394,59490.0344,62145.05562,65039.42697,68069.19562,71346.82229,64430.2751,66909.22411,69510.80964,72231.56472,75166.0872,67264.23338,69666.39762,72171.44475,74772.44516,78420.91164,71312.09062,73831.47783,76486.55397,79286.16318,82547.50191,75839.96038,78499.13655,81433.14224,84313.15529,87424.72271,80479.09553,83231.47678,86085.16397,89201.44661,93229.62097,102096.1052,104676.9202,107225.1816,109771.0481,112490.6821,106588.0387,108666.0144,110678.1297,112614.8448,114651.4504
23,61001.654,61016.28553,60923.46103,60799.83109,60665.90948,60590.55397,57629.58651,57440.97123,57300.73717,57138.62666,56978.92336,52309.80481,52179.60119,52031.49788,51879.33392,51072.63448,48758.95445,48637.43894,48507.04573,48371.38872,48341.60132,47918.94452,47742.52674,47558.17101,47368.98484,47207.4454,46748.92404,46599.18712,46380.94749,46158.97921,45915.42398,45352.48762,45112.71003,44860.72526,44600.44851,44389.9477,44374.75357,44078.89752,43778.12388,43480.64819,43228.0341
24,22894.432,21191.47364,21526.43803,21784.70909,22039.78238,22334.15857,20991.98106,21207.74344,21394.57534,21596.36969,21778.32134,20966.58931,21139.86246,21336.19197,21524.66653,21982.2495,21684.34341,21882.96681,22081.22737,22281.20294,22505.42074,22493.89645,22681.10566,22873.23237,23052.25931,23257.00645,22721.75349,22893.7216,23063.82983,23239.81774,23450.42603,23830.49367,23979.53121,24128.06126,24273.94688,24454.03699,23652.37479,23781.23796,23909.77443,24038.74073,24195.18707
25,94732.71064,97024.42993,99559.93302,102199.4745,104950.2614,107935.9416,106192.0281,109089.5754,112152.6054,115342.4373,118849.2578,117427.7208,120861.615,124451.2613,128203.5594,131246.4727,132588.562,136677.0249,140936.8349,145359.8226,150401.2628,149709.5989,154453.9044,159357.7931,164502.5905,170034.9682,168201.0107,173624.6973,179227.339,185009.4919,190954.5361,202132.5403,209422.2185,216964.4685,224833.259,233365.351,233020.5268,241324.9243,249958.2287,258851.4457,268394.5043
26,30862.04993,29853.57238,30563.95499,31300.18028,32056.61625,32912.00307,33285.71878,34067.97683,34880.64194,35713.5847,36582.07283,37086.14953,38019.86532,38941.15127,39894.10297,41077.01956,44525.32025,45851.42498,47222.88134,48652.55158,50210.45184,54287.83432,56213.57894,58222.84127,60324.1375,62649.35213,66853.11927,69523.86563,72320.67988,75245.68933,78361.01458,86330.9671,90422.0783,94716.74739,99236.78813,104270.0669,110246.0545,115635.1655,121295.4947,127207.6297,133607.357
